id,name
0,갈비구이
1,갈치구이
2,고등어구이
3,곱창구이
4,닭갈비
5,더덕구이
6,떡갈비
7,불고기
8,삼겹살
9,장어구이
10,조개구이
11,조기구이
12,황태구이
13,훈제오리
14,계란국
15,떡국_만두국
16,무국
17,미역국
18,북엇국
19,시래기국
20,육개장
21,콩나물국
22,과메기
23,양념치킨
24,젓갈
25,콩자반
26,편육
27,피자
28,후라이드치킨
29,갓김치
30,깍두기
31,나박김치
32,무생채
33,배추김치
34,백김치
35,부추김치
36,열무김치
37,오이소박이
38,총각김치
39,파김치
40,가지요리
41,고사리나물
42,미역줄기볶음
43,숙주나물
44,시금치나물
45,애호박요리
46,경단
47,꿀떡
48,송편
49,만두
50,라면
51,막국수
52,물냉면
53,비빔냉면
54,수제비
55,열무국수
56,잔치국수
57,짜장면
58,짬뽕
59,쫄면
60,칼국수
61,콩국수
62,고추요리
63,도라지요리
64,도토리묵
65,잡채
66,콩나물요리
67,홍어요리
68,회요리
69,김밥
70,김치볶음밥
71,밥
72,밥
73,비빔밥
74,새우볶음밥
75,알밥
76,유부초밥
77,주먹밥
78,감자채볶음
79,건새우볶음
80,고추장진미채볶음
81,두부요리
82,떡볶이
83,라볶이
84,멸치볶음
85,소세지볶음
86,어묵볶음
87,제육볶음
88,주꾸미볶음
89,보쌈
90,수정과
91,식혜
92,간장게장
93,양념게장
94,깻잎장아찌
95,감자전
96,계란말이
97,계란후라이
98,김치전
99,동그랑땡
100,생선전
101,파전
102,호박전
103,전골
104,갈치조림
105,감자조림
106,고등어조림
107,꽁치조림
108,두부조림
109,땅콩조림
110,메추리알장조림
111,연근조림
112,우엉조림
113,장조림
114,코다리조림
115,죽
116,호박죽
117,김치찌개
118,닭계장
119,동태찌개
120,된장찌개
121,순두부찌개
122,갈비찜
123,계란찜
124,김치찜
125,꼬막찜
126,닭볶음탕
127,수육
128,순대
129,족발
130,찜닭
131,해물찜
132,갈비탕
133,감자탕
134,곰탕_설렁탕
135,매운탕
136,삼계탕
